epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.537,0.86414,1.41764,1.04312,0.98832,0.85481,0.9606,0.70655,0.8737,2.1081,1.00096,0.000654088,0.000654088,0.000654088
2,897.611,0.79119,0.84248,1.02581,0.94877,0.88131,0.95134,0.7164,0.84679,1.41513,1.0694,0.0012946,0.0012946,0.0012946
3,1363.88,0.83955,0.75102,1.04557,0.9724,0.97864,0.99271,0.78204,0.76623,0.79562,1.0816,0.00190872,0.00190872,0.00190872
4,1828.91,0.78635,0.65291,1.04788,0.97021,0.98693,0.9873,0.78682,0.75632,0.6659,1.10103,0.0018812,0.0018812,0.0018812
5,2296.69,0.76735,0.59051,1.02818,0.96736,0.98737,0.9861,0.80398,0.67532,0.55665,1.02839,0.0018416,0.0018416,0.0018416
6,2759.69,0.74263,0.53039,1.0239,0.96917,0.98232,0.99156,0.77242,0.75202,0.52045,1.0972,0.001802,0.001802,0.001802
7,3227.96,0.69691,0.49433,1.01046,0.96604,0.97727,0.99231,0.80938,0.67032,0.53325,1.06194,0.0017624,0.0017624,0.0017624
8,3683.39,0.70264,0.49965,1.01755,0.9778,0.97475,0.98858,0.80508,0.69655,0.55616,1.06289,0.0017228,0.0017228,0.0017228
9,4143.15,0.71409,0.46961,1.01528,0.9872,0.97364,0.9911,0.82337,0.66125,0.42975,1.0679,0.0016832,0.0016832,0.0016832
10,4587.7,0.66605,0.43835,1.002,0.98401,0.98232,0.99264,0.80772,0.70193,0.45995,1.06654,0.0016436,0.0016436,0.0016436
11,5042.56,0.67947,0.4353,1.00409,0.97492,0.98167,0.99254,0.82273,0.65455,0.41461,1.05359,0.001604,0.001604,0.001604
12,5438.32,0.66279,0.42171,0.99193,0.97179,0.98232,0.99156,0.83453,0.6507,0.42109,1.06384,0.0015644,0.0015644,0.0015644
13,5814.03,0.65707,0.41687,0.99304,0.97402,0.97727,0.99042,0.79983,0.72377,0.49062,1.06392,0.0015248,0.0015248,0.0015248
14,6181.35,0.64724,0.41298,0.98613,0.97,0.97968,0.98948,0.80955,0.67652,0.40733,1.10842,0.0014852,0.0014852,0.0014852
15,6551.38,0.64721,0.41458,1.00125,0.98128,0.97475,0.99323,0.82484,0.68287,0.39309,1.1001,0.0014456,0.0014456,0.0014456
16,6918.39,0.63166,0.39208,0.98521,0.98103,0.97727,0.99328,0.82689,0.61288,0.37451,1.04659,0.001406,0.001406,0.001406
17,7284.66,0.63224,0.38542,0.99614,0.9703,0.98986,0.99372,0.82414,0.65926,0.37299,1.07745,0.0013664,0.0013664,0.0013664
18,7659.44,0.61514,0.38266,0.98871,0.97435,0.98737,0.99373,0.84507,0.63971,0.36848,1.05604,0.0013268,0.0013268,0.0013268
19,8047.61,0.61854,0.38259,0.9919,0.97489,0.98485,0.99412,0.84799,0.62843,0.34653,1.05989,0.0012872,0.0012872,0.0012872
20,8417.3,0.61926,0.38196,0.98155,0.97256,0.98452,0.99139,0.84628,0.62288,0.36051,1.05099,0.0012476,0.0012476,0.0012476
21,8782.82,0.61157,0.37522,0.98418,0.97261,0.98657,0.99328,0.82669,0.64976,0.38072,1.03152,0.001208,0.001208,0.001208
22,9148.6,0.61649,0.37088,0.9885,0.98247,0.9798,0.99232,0.85549,0.58983,0.353,1.02278,0.0011684,0.0011684,0.0011684
23,9514.53,0.60197,0.35343,0.96556,0.97264,0.98731,0.9926,0.85884,0.579,0.35179,1.05675,0.0011288,0.0011288,0.0011288
24,9880.23,0.58543,0.3575,0.97211,0.97469,0.98485,0.99245,0.85734,0.60172,0.34505,1.07475,0.0010892,0.0010892,0.0010892
25,10245.5,0.58441,0.35217,0.97997,0.97654,0.98485,0.99391,0.85769,0.58538,0.34239,1.04378,0.0010496,0.0010496,0.0010496
26,10614,0.58873,0.34665,0.96764,0.98874,0.97475,0.99391,0.86515,0.59168,0.32978,1.03183,0.00101,0.00101,0.00101
27,10979.8,0.58788,0.3409,0.96533,0.98103,0.98232,0.99359,0.85107,0.66627,0.35815,1.02787,0.0009704,0.0009704,0.0009704
28,11344.4,0.57156,0.33388,0.96725,0.97501,0.98527,0.99336,0.8711,0.5701,0.31757,1.03487,0.0009308,0.0009308,0.0009308
29,11710.3,0.59338,0.34357,0.97563,0.98976,0.97661,0.99349,0.87314,0.5612,0.32704,1.04228,0.0008912,0.0008912,0.0008912
30,12078.5,0.5911,0.34619,0.97627,0.98184,0.98485,0.99435,0.87005,0.59549,0.33284,1.04112,0.0008516,0.0008516,0.0008516
31,12445.6,0.56573,0.32451,0.95721,0.98981,0.98118,0.99411,0.85465,0.59206,0.32644,1.03421,0.000812,0.000812,0.000812
32,12809,0.5576,0.32595,0.95678,0.979,0.98737,0.99385,0.85475,0.58832,0.32273,1.04963,0.0007724,0.0007724,0.0007724
33,13173.8,0.55937,0.32763,0.96078,0.97408,0.98737,0.99402,0.85786,0.57787,0.32292,1.05051,0.0007328,0.0007328,0.0007328
34,13538.5,0.56738,0.32692,0.95587,0.9848,0.98144,0.9937,0.8625,0.57502,0.31481,1.03898,0.0006932,0.0006932,0.0006932
35,13903.8,0.55413,0.32249,0.95852,0.98236,0.98433,0.99329,0.86606,0.57073,0.31025,1.01687,0.0006536,0.0006536,0.0006536
36,14272.5,0.52618,0.30568,0.94906,0.97511,0.98942,0.99326,0.86359,0.57361,0.31164,1.03948,0.000614,0.000614,0.000614
37,14637.4,0.53376,0.30707,0.95379,0.97994,0.98679,0.99286,0.88936,0.54747,0.30185,1.036,0.0005744,0.0005744,0.0005744
38,15017.1,0.5179,0.30766,0.93466,0.98236,0.98485,0.99316,0.87906,0.58478,0.32654,1.01584,0.0005348,0.0005348,0.0005348
39,15419.8,0.53182,0.31072,0.94697,0.97511,0.98942,0.99346,0.88263,0.53285,0.31141,0.9909,0.0004952,0.0004952,0.0004952
40,15801.1,0.52523,0.29652,0.9459,0.97989,0.98457,0.9935,0.87977,0.54708,0.29636,1.01782,0.0004556,0.0004556,0.0004556
41,16194.9,0.47644,0.28011,0.89606,0.97483,0.98485,0.99306,0.87084,0.57559,0.31782,1.00376,0.000416,0.000416,0.000416
42,16592.6,0.47221,0.27341,0.90423,0.98953,0.97727,0.99382,0.8796,0.54892,0.30789,1.042,0.0003764,0.0003764,0.0003764
43,16991,0.45807,0.26913,0.89431,0.98097,0.98737,0.99373,0.87842,0.54411,0.2987,1.00853,0.0003368,0.0003368,0.0003368
44,17390.5,0.45494,0.26526,0.88553,0.9767,0.98232,0.99292,0.88669,0.52752,0.30989,0.97719,0.0002972,0.0002972,0.0002972
45,17794.4,0.44788,0.26088,0.88652,0.97987,0.98328,0.99298,0.89018,0.5297,0.29701,0.98628,0.0002576,0.0002576,0.0002576
46,18193.5,0.43675,0.24854,0.87983,0.98077,0.98232,0.99256,0.89604,0.52413,0.29095,0.99236,0.000218,0.000218,0.000218
47,18589.6,0.43226,0.24542,0.87481,0.99336,0.97222,0.99185,0.89345,0.52113,0.28944,0.98926,0.0001784,0.0001784,0.0001784
48,18954.1,0.43335,0.24299,0.87609,0.97988,0.98371,0.99211,0.89169,0.5382,0.29164,0.99323,0.0001388,0.0001388,0.0001388
49,19316,0.42889,0.24011,0.87103,0.9764,0.98485,0.99194,0.89594,0.51985,0.28449,0.99455,9.92e-05,9.92e-05,9.92e-05
50,19677.3,0.4219,0.23673,0.87428,0.97743,0.98417,0.99262,0.90113,0.51546,0.28044,0.98758,5.96e-05,5.96e-05,5.96e-05
